Entry	EC number	Protein families	Enzyme class
P08263	1.11.1.-; 2.5.1.18; 5.3.3.-	GST superfamily, Alpha family	Oxidoreductases
P08294	1.15.1.1	Cu-Zn superoxide dismutase family	Oxidoreductases
P08319	1.1.1.105	Zinc-containing alcohol dehydrogenase family, Class-II subfamily	Oxidoreductases
P08559	1.2.4.1		Oxidoreductases
P08684	1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73	Cytochrome P450 family	Oxidoreductases
P08686	1.14.14.16	Cytochrome P450 family	Oxidoreductases
P09172	1.14.17.1	Copper type II ascorbate-dependent monooxygenase family	Oxidoreductases
P09417	1.5.1.34	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P09601	1.14.14.18	Heme oxygenase family	Oxidoreductases
P09622	1.8.1.4	Class-I pyridine nucleotide-disulfide oxidoreductase family	Oxidoreductases
P09917	1.13.11.-; 1.13.11.34	Lipoxygenase family	Oxidoreductases
P0C870	1.14.11.63; 3.4.-.-		Oxidoreductases
P10632	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P10635	1.14.14.-	Cytochrome P450 family	Oxidoreductases
P11177	1.2.4.1		Oxidoreductases
P11310	1.3.8.7	Acyl-CoA dehydrogenase family	Oxidoreductases
P11413	1.1.1.49	Glucose-6-phosphate dehydrogenase family	Oxidoreductases
P11509	1.14.14.-	Cytochrome P450 family	Oxidoreductases
P11511	1.14.14.14	Cytochrome P450 family	Oxidoreductases
P11586	1.5.1.5; 3.5.4.9; 6.3.4.3	Tetrahydrofolate dehydrogenase/cyclohydrolase family; Formate--tetrahydrofolate ligase family	Oxidoreductases
P11678	1.11.1.7	Peroxidase family, XPO subfamily	Oxidoreductases
P11712	1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53	Cytochrome P450 family	Oxidoreductases
P11766	1.1.1.-; 1.1.1.1; 1.1.1.284	Zinc-containing alcohol dehydrogenase family, Class-III subfamily	Oxidoreductases
P12268	1.1.1.205	IMPDH/GMPR family	Oxidoreductases
P12694	1.2.4.4	BCKDHA family	Oxidoreductases
P13284	1.8.-.-	GILT family	Oxidoreductases
P13584	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P13674	1.14.11.2	P4HA family	Oxidoreductases
P13995	1.5.1.15; 3.5.4.9	Tetrahydrofolate dehydrogenase/cyclohydrolase family	Oxidoreductases
P14060	1.1.1.145; 1.1.1.210; 1.1.1.270; 5.3.3.1	3-beta-HSD family	Oxidoreductases
P14061	1.1.1.51; 1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P14550	1.1.1.19; 1.1.1.2; 1.1.1.20; 1.1.1.372; 1.1.1.54; 1.6.-.-	Aldo/keto reductase family	Oxidoreductases
P14679	1.14.18.1	Tyrosinase family	Oxidoreductases
P14902	1.13.11.52	Indoleamine 2,3-dioxygenase family	Oxidoreductases
P14920	1.4.3.3	DAMOX/DASOX family	Oxidoreductases
P15121	1.1.1.21; 1.1.1.300; 1.1.1.372; 1.1.1.54	Aldo/keto reductase family	Oxidoreductases
P15428	1.1.1.-; 1.1.1.141; 1.1.1.232	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P15538	1.14.15.4	Cytochrome P450 family	Oxidoreductases
P15559	1.6.5.2	NAD(P)H dehydrogenase (quinone) family	Oxidoreductases
P16050	1.13.11.-; 1.13.11.12; 1.13.11.31; 1.13.11.33	Lipoxygenase family	Oxidoreductases
P16083	1.10.5.1	NAD(P)H dehydrogenase (quinone) family	Oxidoreductases
P16152	1.1.1.184; 1.1.1.189; 1.1.1.196; 1.1.1.197; 1.1.1.71	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P16219	1.3.8.1	Acyl-CoA dehydrogenase family	Oxidoreductases
P16435	1.6.2.4	NADPH--cytochrome P450 reductase family; Flavodoxin family; Flavoprotein pyridine nucleotide cytochrome reductase family	Oxidoreductases
P17516	1.1.1.-; 1.1.1.209; 1.1.1.210; 1.1.1.225; 1.1.1.357; 1.1.1.51; 1.1.1.53; 1.1.1.62	Aldo/keto reductase family	Oxidoreductases
P17643	1.14.18.-	Tyrosinase family	Oxidoreductases
P17752	1.14.16.4	Biopterin-dependent aromatic amino acid hydroxylase family	Oxidoreductases
P18054	1.13.11.-; 1.13.11.31; 1.13.11.33; 3.3.2.-	Lipoxygenase family	Oxidoreductases
P18283	1.11.1.12; 1.11.1.9	Glutathione peroxidase family	Oxidoreductases
P18405	1.3.1.22	Steroid 5-alpha reductase family	Oxidoreductases
P19021	1.14.17.3; 4.3.2.5	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family	Oxidoreductases
P19099	1.14.15.4; 1.14.15.5	Cytochrome P450 family	Oxidoreductases
P19801	1.4.3.22	Copper/topaquinone oxidase family	Oxidoreductases
P20813	1.14.13.-	Cytochrome P450 family	Oxidoreductases
P20815	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P20839	1.1.1.205	IMPDH/GMPR family	Oxidoreductases
P20853	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P21397	1.4.3.21; 1.4.3.4	Flavin monoamine oxidase family	Oxidoreductases
P21695	1.1.1.8	NAD-dependent glycerol-3-phosphate dehydrogenase family	Oxidoreductases
P21912	1.1.5.-; 1.3.5.1	Succinate dehydrogenase/fumarate reductase iron-sulfur protein family	Oxidoreductases
P21953	1.2.4.4		Oxidoreductases
P22079	1.11.1.7	Peroxidase family, XPO subfamily	Oxidoreductases
P22352	1.11.1.9	Glutathione peroxidase family	Oxidoreductases
P22570	1.18.1.6	Ferredoxin--NADP reductase type 1 family	Oxidoreductases
P22680	1.14.14.23; 1.14.14.26	Cytochrome P450 family	Oxidoreductases
P23219	1.14.99.1	Prostaglandin G/H synthase family	Oxidoreductases
P23368	1.1.1.38	Malic enzymes family	Oxidoreductases
P23378	1.4.4.2	GcvP family	Oxidoreductases
P23921	1.17.4.1	Ribonucleoside diphosphate reductase large chain family	Oxidoreductases
P24462	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P24903	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P26439	1.1.1.145; 5.3.3.1	3-beta-HSD family	Oxidoreductases
P26440	1.3.8.1; 1.3.8.4	Acyl-CoA dehydrogenase family	Oxidoreductases
P27338	1.4.3.21; 1.4.3.4	Flavin monoamine oxidase family	Oxidoreductases
P28300	1.4.3.13	Lysyl oxidase family	Oxidoreductases
P28330	1.3.8.8	Acyl-CoA dehydrogenase family	Oxidoreductases
P28332	1.1.1.1	Zinc-containing alcohol dehydrogenase family, Class-V subfamily	Oxidoreductases
P28845	1.1.1.146; 1.1.1.201	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P29375	1.14.11.67	JARID1 histone demethylase family	Oxidoreductases
P29474	1.14.13.39	NOS family	Oxidoreductases
P29475	1.14.13.39	NOS family	Oxidoreductases
P29803	1.2.4.1		Oxidoreductases
P30038	1.2.1.88	Aldehyde dehydrogenase family	Oxidoreductases
P30041	1.11.1.27; 2.3.1.23; 3.1.1.4	Peroxiredoxin family, Prx6 subfamily	Oxidoreductases
P30043	1.3.1.-; 1.5.1.30; 2.6.99.-	BLVRB family	Oxidoreductases
P30044	1.11.1.24	Peroxiredoxin family, Prx5 subfamily	Oxidoreductases
P30048	1.11.1.24	Peroxiredoxin family, AhpC/Prx1 subfamily	Oxidoreductases
P30519	1.14.14.18	Heme oxygenase family	Oxidoreductases
P30837	1.2.1.3	Aldehyde dehydrogenase family	Oxidoreductases
P30838	1.2.1.5	Aldehyde dehydrogenase family	Oxidoreductases
P31040	1.1.5.-; 1.3.5.1	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Oxidoreductases
P31213	1.3.1.22	Steroid 5-alpha reductase family	Oxidoreductases
P31350	1.17.4.1	Ribonucleoside diphosphate reductase small chain family	Oxidoreductases
P31512	1.14.13.8	FMO family	Oxidoreductases
P31513	1.14.13.148; 1.14.13.32; 1.14.13.8	FMO family	Oxidoreductases
P31937	1.1.1.31	HIBADH-related family, 3-hydroxyisobutyrate dehydrogenase subfamily	Oxidoreductases
P32119	1.11.1.24	Peroxiredoxin family, AhpC/Prx1 subfamily	Oxidoreductases
P32322	1.5.1.2	Pyrroline-5-carboxylate reductase family	Oxidoreductases
P32754	1.13.11.27	4HPPD family	Oxidoreductases
P33260	1.14.14.1	Cytochrome P450 family	Oxidoreductases
P33261	1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53; 1.14.14.75	Cytochrome P450 family	Oxidoreductases
P35228	1.14.13.39	NOS family	Oxidoreductases
P35270	1.1.1.153	Sepiapterin reductase family	Oxidoreductases
P35354	1.14.99.1	Prostaglandin G/H synthase family	Oxidoreductases
P36551	1.3.3.3	Aerobic coproporphyrinogen-III oxidase family	Oxidoreductases
P36959	1.7.1.7	IMPDH/GMPR family, GuaC type 1 subfamily	Oxidoreductases
P36969	1.11.1.12; 1.11.1.9	Glutathione peroxidase family	Oxidoreductases
P37058	1.1.1.62; 1.1.1.64	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	Oxidoreductases
P37059	1.1.1.239; 1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P40394	1.1.1.1; 1.1.1.105; 1.1.1.66	Zinc-containing alcohol dehydrogenase family, Class-IV subfamily	Oxidoreductases
P40925	1.1.1.37; 1.1.1.96	LDH/MDH superfamily, MDH type 2 family	Oxidoreductases
P40926	1.1.1.37	LDH/MDH superfamily, MDH type 1 family	Oxidoreductases
P40939	1.1.1.211; 2.3.1.-; 4.2.1.17	Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family	Oxidoreductases
P41229	1.14.11.67	JARID1 histone demethylase family	Oxidoreductases
P42330	1.1.1.-; 1.1.1.188; 1.1.1.210; 1.1.1.239; 1.1.1.357; 1.1.1.53; 1.1.1.62; 1.1.1.64	Aldo/keto reductase family	Oxidoreductases
P42898	1.5.1.53	Methylenetetrahydrofolate reductase family	Oxidoreductases
P43304	1.1.5.3	FAD-dependent glycerol-3-phosphate dehydrogenase family	Oxidoreductases
P43353	1.2.1.28; 1.2.1.48; 1.2.1.5; 1.2.1.7	Aldehyde dehydrogenase family	Oxidoreductases
P45954	1.3.8.5	Acyl-CoA dehydrogenase family	Oxidoreductases
P46952	1.13.11.6	3-HAO family	Oxidoreductases
P47895	1.2.1.36	Aldehyde dehydrogenase family	Oxidoreductases
P47989	1.17.1.4; 1.17.3.2	Xanthine dehydrogenase family	Oxidoreductases
P48163	1.1.1.40	Malic enzymes family	Oxidoreductases
P48448	1.2.1.3; 1.2.1.48	Aldehyde dehydrogenase family	Oxidoreductases
P48735	1.1.1.42	Isocitrate and isopropylmalate dehydrogenases family	Oxidoreductases
P48775	1.13.11.11	Tryptophan 2,3-dioxygenase family	Oxidoreductases
P49189	1.2.1.19; 1.2.1.3; 1.2.1.46; 1.2.1.47	Aldehyde dehydrogenase family	Oxidoreductases
P49326	1.14.13.-; 1.14.13.8; 1.6.3.1	FMO family	Oxidoreductases
P49327	1.1.1.100; 1.3.1.39; 2.3.1.38; 2.3.1.39; 2.3.1.41; 2.3.1.85; 3.1.2.14; 4.2.1.59		Oxidoreductases
P49419	1.2.1.3; 1.2.1.31; 1.2.1.8	Aldehyde dehydrogenase family	Oxidoreductases
P49448	1.4.1.3	Glu/Leu/Phe/Val dehydrogenases family	Oxidoreductases
P49748	1.3.8.9	Acyl-CoA dehydrogenase family	Oxidoreductases
P49895	1.21.99.4	Iodothyronine deiodinase family	Oxidoreductases
P50213	1.1.1.41	Isocitrate and isopropylmalate dehydrogenases family	Oxidoreductases
P50336	1.3.3.4	Protoporphyrinogen/coproporphyrinogen oxidase family, Protoporphyrinogen oxidase subfamily	Oxidoreductases
P51589	1.14.14.-; 1.14.14.73; 1.14.14.74; 5.4.4.7	Cytochrome P450 family	Oxidoreductases
P51648	1.2.1.3; 1.2.1.94	Aldehyde dehydrogenase family	Oxidoreductases
P51649	1.2.1.24	Aldehyde dehydrogenase family	Oxidoreductases
P51659	1.1.1.n12; 4.2.1.107; 4.2.1.119	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P51687	1.8.3.1		Oxidoreductases
P51857	1.3.1.3	Aldo/keto reductase family	Oxidoreductases
P52209	1.1.1.44	6-phosphogluconate dehydrogenase family	Oxidoreductases
P52895	1.-.-.-; 1.1.1.112; 1.1.1.209; 1.1.1.357; 1.1.1.53; 1.1.1.62; 1.3.1.20	Aldo/keto reductase family	Oxidoreductases
P53004	1.3.1.24	Gfo/Idh/MocA family, Biliverdin reductase subfamily	Oxidoreductases
P54886	1.2.1.41; 2.7.2.11	Glutamate 5-kinase family; Gamma-glutamyl phosphate reductase family	Oxidoreductases
P55073	1.21.99.3	Iodothyronine deiodinase family	Oxidoreductases
P55789	1.8.3.2		Oxidoreductases
P56937	1.1.1.210; 1.1.1.270; 1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family, ERG27 subfamily	Oxidoreductases
P58004	1.11.1.-	Sestrin family	Oxidoreductases
P58005	1.11.1.-	Sestrin family	Oxidoreductases
P58215	1.4.3.-; 1.4.3.13	Lysyl oxidase family	Oxidoreductases
P62341	1.8.1.9	SelWTH family, Selenoprotein T subfamily	Oxidoreductases
P78329	1.14.14.1; 1.14.14.78; 1.14.14.79; 1.14.14.94	Cytochrome P450 family	Oxidoreductases
P78417	1.20.4.2; 1.8.5.1; 2.5.1.18	GST superfamily, Omega family	Oxidoreductases
P80365	1.1.1.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
P98187	1.14.14.1	Cytochrome P450 family	Oxidoreductases
Q00796	1.1.1.-; 1.1.1.14; 1.1.1.4; 1.1.1.56; 1.1.1.9	Zinc-containing alcohol dehydrogenase family	Oxidoreductases
Q01740	1.14.13.148; 1.14.13.8	FMO family	Oxidoreductases
Q02127	1.3.5.2	Dihydroorotate dehydrogenase family, Type 2 subfamily	Oxidoreductases
Q02218	1.2.4.2	Alpha-ketoglutarate dehydrogenase family	Oxidoreductases
Q02252	1.2.1.27	Aldehyde dehydrogenase family	Oxidoreductases
Q02318	1.14.15.15	Cytochrome P450 family	Oxidoreductases
Q02809	1.14.11.4		Oxidoreductases
Q02928	1.14.14.1; 1.14.14.80	Cytochrome P450 family	Oxidoreductases
Q04828	1.1.1.-; 1.1.1.112; 1.1.1.149; 1.1.1.209; 1.1.1.210; 1.1.1.357; 1.1.1.51; 1.1.1.53; 1.1.1.62; 1.3.1.20	Aldo/keto reductase family	Oxidoreductases
Q06136	1.1.1.102	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q06278	1.17.3.-; 1.2.3.1	Xanthine dehydrogenase family	Oxidoreductases
Q06830	1.11.1.24	Peroxiredoxin family, AhpC/Prx1 subfamily	Oxidoreductases
Q07973	1.14.15.16	Cytochrome P450 family	Oxidoreductases
Q08257	1.6.5.5	Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily	Oxidoreductases
Q08397	1.4.3.13	Lysyl oxidase family	Oxidoreductases
Q08426	1.1.1.35; 4.2.1.17; 5.3.3.8	Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family	Oxidoreductases
Q08477	1.14.14.1; 1.14.14.79; 1.14.14.94	Cytochrome P450 family	Oxidoreductases
Q12797	1.14.11.16	Aspartyl/asparaginyl beta-hydroxylase family	Oxidoreductases
Q12882	1.3.1.2	Dihydropyrimidine dehydrogenase family	Oxidoreductases
Q13162	1.11.1.24	Peroxiredoxin family, AhpC/Prx1 subfamily	Oxidoreductases
Q13228	1.8.3.4	Selenium-binding protein family	Oxidoreductases
Q13268	1.1.1.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q13303	1.1.1.-	Shaker potassium channel beta subunit family	Oxidoreductases
Q13363	1.1.1.-	D-isomer specific 2-hydroxyacid dehydrogenase family	Oxidoreductases
Q13630	1.1.1.271	NAD(P)-dependent epimerase/dehydratase family, Fucose synthase subfamily	Oxidoreductases
Q13686	1.14.11.-; 1.14.11.33; 1.14.11.51; 4.2.99.18	AlkB family	Oxidoreductases
Q14534	1.14.14.17	Squalene monooxygenase family	Oxidoreductases
Q14722	1.1.1.-	Shaker potassium channel beta subunit family	Oxidoreductases
Q14739	1.3.1.70	ERG4/ERG24 family	Oxidoreductases
Q14894	1.5.1.25	Ornithine cyclodeaminase/mu-crystallin family	Oxidoreductases
Q14914	1.3.1.48; 1.3.1.74	NADP-dependent oxidoreductase L4BD family	Oxidoreductases
Q15067	1.3.3.6	Acyl-CoA oxidase family	Oxidoreductases
Q15392	1.3.1.72	FAD-binding oxidoreductase/transferase type 4 family	Oxidoreductases
Q15652	1.14.11.-	JHDM2 histone demethylase family	Oxidoreductases
Q15738	1.1.1.170	3-beta-HSD family	Oxidoreductases
Q15800	1.14.18.9	Sterol desaturase family	Oxidoreductases
Q16134	1.5.5.1	ETF-QO/FixC family	Oxidoreductases
Q16206	1.-.-.-	ENOX family	Oxidoreductases
Q16595	1.16.3.1	Frataxin family	Oxidoreductases
Q16678	1.14.14.1; 4.2.1.152	Cytochrome P450 family	Oxidoreductases
Q16696	1.14.14.1	Cytochrome P450 family	Oxidoreductases
Q16698	1.3.1.124	Short-chain dehydrogenases/reductases (SDR) family, 2,4-dienoyl-CoA reductase subfamily	Oxidoreductases
Q16798	1.1.1.40	Malic enzymes family	Oxidoreductases
Q16836	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase family	Oxidoreductases
Q16850	1.14.14.154	Cytochrome P450 family	Oxidoreductases
Q16853	1.4.3.21	Copper/topaquinone oxidase family	Oxidoreductases
Q16878	1.13.11.20	Cysteine dioxygenase family	Oxidoreductases
Q16881	1.11.1.2; 1.8.1.9	Class-I pyridine nucleotide-disulfide oxidoreductase family	Oxidoreductases
Q32P28	1.14.11.7	Leprecan family	Oxidoreductases
Q3KRA9	1.14.11.-	AlkB family	Oxidoreductases
Q3SY69	1.5.1.6	GART family; Aldehyde dehydrogenase family, ALDH1L subfamily	Oxidoreductases
Q4G0S4	1.14.19.53	Cytochrome P450 family	Oxidoreductases
Q53FA7	1.6.5.5	Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily	Oxidoreductases
Q53GQ0	1.1.1.330; 1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	Oxidoreductases
Q53H96	1.5.1.2	Pyrroline-5-carboxylate reductase family	Oxidoreductases
Q5SRE7	1.14.11.-	PhyH family, PHYHD1 subfamily	Oxidoreductases
Q5TCH4	1.14.14.80	Cytochrome P450 family	Oxidoreductases
Q5TEU4	1.-.-.-; 2.1.1.-	Methyltransferase superfamily	Oxidoreductases
Q5VT66	1.7.-.-		Oxidoreductases
Q5VYX0	1.6.3.5	Renalase family	Oxidoreductases
Q658P3	1.16.1.-	STEAP family	Oxidoreductases
Q687X5	1.16.1.-	STEAP family	Oxidoreductases
Q6B0I6	1.14.11.66	JHDM3 histone demethylase family	Oxidoreductases
Q6BCY4	1.6.2.2	Flavoprotein pyridine nucleotide cytochrome reductase family	Oxidoreductases
Q6DKJ4	1.8.1.8	Nucleoredoxin family	Oxidoreductases
Q6IAN0	1.1.-.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q6JQN1	1.3.99.-	Acyl-CoA dehydrogenase family	Oxidoreductases
Q6MZM0	1.16.3.1	Multicopper oxidase family	Oxidoreductases
Q6N021	1.14.11.80	TET family	Oxidoreductases
Q6NS38	1.14.11.33	AlkB family	Oxidoreductases
Q6NT55	1.14.14.177	Cytochrome P450 family	Oxidoreductases
Q6NYC1	1.14.11.-	JMJD6 family	Oxidoreductases
Q6P1R4	1.3.1.88	Dus family, Dus1 subfamily	Oxidoreductases
Q6P6C2	1.14.11.53	AlkB family	Oxidoreductases
Q6PHW0	1.21.1.1	Nitroreductase family	Oxidoreductases
Q6QHC5	1.14.18.5; 1.14.19.17	Fatty acid desaturase type 1 family, DEGS subfamily	Oxidoreductases
Q6QHF9	1.5.3.13	Flavin monoamine oxidase family	Oxidoreductases
Q6UVY6	1.14.17.-	Copper type II ascorbate-dependent monooxygenase family	Oxidoreductases
Q6UWP2	1.1.1.270; 1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q6V0L0	1.14.14.1	Cytochrome P450 family	Oxidoreductases
Q6VVX0	1.14.14.24	Cytochrome P450 family	Oxidoreductases
Q6YN16	1.-.-.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q6ZMT4	1.14.11.65	JHDM1 histone demethylase family, JHDM1D subfamily	Oxidoreductases
Q6ZNB7	1.14.16.5	Sterol desaturase family, TMEM195 subfamily	Oxidoreductases
Q6ZQW0	1.13.11.-	Indoleamine 2,3-dioxygenase family	Oxidoreductases
Q6ZRP7	1.8.3.2	Quiescin-sulfhydryl oxidase (QSOX) family	Oxidoreductases
Q6ZWL3	1.14.14.79; 1.14.14.80	Cytochrome P450 family	Oxidoreductases
Q709F0	1.3.8.-	Acyl-CoA dehydrogenase family	Oxidoreductases
Q7KZN9	1.17.99.9	COX15/CtaA family, Type 2 subfamily	Oxidoreductases
Q7L1T6	1.6.2.2	Flavoprotein pyridine nucleotide cytochrome reductase family	Oxidoreductases
Q7L5A8	1.14.18.-	Sterol desaturase family, SCS7 subfamily	Oxidoreductases
Q7LBC6	1.14.11.65	JHDM2 histone demethylase family	Oxidoreductases
Q7LG56	1.17.4.1	Ribonucleoside diphosphate reductase small chain family	Oxidoreductases
Q7RTP6	1.14.13.225	Mical family	Oxidoreductases
Q7Z449	1.14.14.80	Cytochrome P450 family	Oxidoreductases
Q7Z4N8	1.14.11.2	P4HA family	Oxidoreductases
Q7Z4W1	1.1.1.10	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q7Z5J1	1.1.1.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q7Z5P4	1.1.1.-; 1.1.1.105; 1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q86SK9	1.14.19.1	Fatty acid desaturase type 1 family	Oxidoreductases
Q86VQ6	1.8.1.9	Class-I pyridine nucleotide-disulfide oxidoreductase family	Oxidoreductases
Q86W10	1.14.14.1; 1.14.14.130	Cytochrome P450 family	Oxidoreductases
Q86WU2	1.1.2.4	FAD-binding oxidoreductase/transferase type 4 family	Oxidoreductases
Q86XF0	1.5.1.3	Dihydrofolate reductase family	Oxidoreductases
Q86YB8	1.8.4.-	EROs family	Oxidoreductases
Q8IUF8	1.14.11.79	ROX family, MINA53 subfamily	Oxidoreductases
Q8IVL5	1.14.11.7	Leprecan family	Oxidoreductases
Q8IVL6	1.14.11.7	Leprecan family	Oxidoreductases
Q8IWU9	1.14.16.4	Biopterin-dependent aromatic amino acid hydroxylase family	Oxidoreductases
Q8IWW8	1.1.99.24	Iron-containing alcohol dehydrogenase family, Hydroxyacid-oxoacid transhydrogenase subfamily	Oxidoreductases
Q8IXB1	1.8.4.-		Oxidoreductases
Q8IXL7	1.8.4.12; 1.8.4.14	MsrB Met sulfoxide reductase family	Oxidoreductases
Q8IZV5	1.1.1.300	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q8N0U8	1.17.4.4	VKOR family	Oxidoreductases
Q8N335	1.1.1.8	NAD-dependent glycerol-3-phosphate dehydrogenase family	Oxidoreductases
Q8N371	1.14.11.73; 3.4.-.-		Oxidoreductases
Q8N3Y7	1.1.1.105	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q8N465	1.1.99.39	FAD-binding oxidoreductase/transferase type 4 family	Oxidoreductases
Q8N4E7	1.16.3.1	Ferritin family	Oxidoreductases
Q8N4T8	1.1.1.100; 1.6.5.10	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q8N543	1.14.11.-	TPA1 family	Oxidoreductases
Q8N5I4	1.3.-.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q8N8N7	1.3.1.48	NADP-dependent oxidoreductase L4BD family	Oxidoreductases
Q8N9I5	1.14.19.-	Fatty acid desaturase type 1 family	Oxidoreductases
Q8NB78	1.14.99.66	Flavin monoamine oxidase family	Oxidoreductases
Q8NBK3	1.8.3.7	Sulfatase-modifying factor family	Oxidoreductases
Q8NBN7	1.1.1.300	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q8NBQ5	1.1.1.62	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	Oxidoreductases
Q8NBS9	1.8.4.-; 5.3.4.1	Protein disulfide isomerase family	Oxidoreductases
Q8NFT2	1.16.1.-	STEAP family	Oxidoreductases
Q8NFU7	1.14.11.80	TET family	Oxidoreductases
Q8NHM5	1.14.11.27	JHDM1 histone demethylase family	Oxidoreductases
Q8NHP1	1.-.-.-	Aldo/keto reductase family, Aldo/keto reductase 2 subfamily	Oxidoreductases
Q8TAV3	1.14.14.-	Cytochrome P450 family	Oxidoreductases
Q8TBF2	1.11.1.20	Peroxiredoxin-like PRXL2 family, Prostamide/prostaglandin F synthase subfamily	Oxidoreductases
Q8TC12	1.1.1.300	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q8TC92	1.-.-.-	ENOX family	Oxidoreductases
Q8TDZ2	1.14.13.225; 1.6.3.1	Mical family	Oxidoreductases
Q8TED1	1.11.1.9	Glutathione peroxidase family	Oxidoreductases
Q8WU10	1.8.1.-	Class-I pyridine nucleotide-disulfide oxidoreductase family, PYROXD1 subfamily	Oxidoreductases
Q8WVX9	1.2.1.84	Fatty acyl-CoA reductase family	Oxidoreductases
Q8WWM9	1.11.1.-; 1.14.12.-; 1.15.1.1; 1.7.-.-	Globin family	Oxidoreductases
Q92506	1.1.1.239; 1.1.1.62; 1.1.1.n12	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q92626	1.11.2.-	Peroxidase family, XPO subfamily	Oxidoreductases
Q92781	1.1.1.209; 1.1.1.315; 1.1.1.53	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q92813	1.21.99.4	Iodothyronine deiodinase family	Oxidoreductases
Q92947	1.3.8.6	Acyl-CoA dehydrogenase family	Oxidoreductases
Q93099	1.13.11.5	Homogentisate dioxygenase family	Oxidoreductases
Q969Z3	1.7.-.-		Oxidoreductases
Q96C36	1.5.1.2	Pyrroline-5-carboxylate reductase family	Oxidoreductases
Q96CU9	1.-.-.-		Oxidoreductases
Q96G46	1.3.1.-; 1.3.1.89	Dus family, Dus3 subfamily	Oxidoreductases
Q96HE7	1.8.4.-	EROs family	Oxidoreductases
Q96HY7	1.2.4.-	Alpha-ketoglutarate dehydrogenase family	Oxidoreductases
Q96IR7	1.13.11.46	4HPPD family	Oxidoreductases
Q96JB6	1.4.3.13	Lysyl oxidase family	Oxidoreductases
Q96JD6	1.1.1.263	Aldo/keto reductase family	Oxidoreductases
Q96K12	1.2.1.84	Fatty acyl-CoA reductase family	Oxidoreductases
Q96KS0	1.14.11.-; 1.14.11.29		Oxidoreductases
Q96LJ7	1.1.1.-	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q96NN9	1.-.-.-	FAD-dependent oxidoreductase family	Oxidoreductases
Q96NR8	1.1.1.300	Short-chain dehydrogenases/reductases (SDR) family	Oxidoreductases
Q96NY7	1.8.-.-	Chloride channel CLIC family	Oxidoreductases
Q96PH1	1.6.3.-		Oxidoreductases
Q96Q83	1.14.11.33; 1.14.11.54	AlkB family	Oxidoreductases
Q96RQ9	1.4.3.2; 1.4.3.25	Flavin monoamine oxidase family, FIG1 subfamily	Oxidoreductases
